strategy,dim,ncp_preset,dist_corr,top1,top3,top5,conv_steps,us_per_step
RandomProjection,1024,tiny,0.0285,0.0833,0.3056,0.4167,0,1404.6
RandomProjection,1024,standard,0.0890,0.0556,0.3333,0.6389,0,4549.2
DualTrack,1024,tiny,-0.0709,0.1667,0.4167,0.6389,8,3983.3
DualTrack,1024,standard,0.1738,0.1667,0.2500,0.4167,1,13142.6
InputPreserving,1024,tiny,1.0000,0.1667,0.3611,0.5278,1,2216.4
InputPreserving,1024,standard,1.0000,0.1667,0.3611,0.5278,1,9698.5
DirectHD,1024,tiny,0.0223,0.1667,0.1944,0.4167,0,4673.6
SparseHD,1024,tiny,0.2073,0.1667,0.3056,0.5833,0,14030.6
RandomProjection,4096,tiny,0.2622,0.0556,0.2778,0.4167,0,5892.3
RandomProjection,4096,standard,0.0256,0.0556,0.3611,0.6389,0,27346.0
DualTrack,4096,tiny,-0.0062,0.1944,0.4167,0.6111,1,23750.8
DualTrack,4096,standard,0.1651,0.1111,0.3333,0.4167,1,65432.8
InputPreserving,4096,tiny,1.0000,0.3056,0.3333,0.4722,1,15861.1
InputPreserving,4096,standard,1.0000,0.3056,0.3333,0.4722,1,53548.7
