D,seed,top1,top3,top5
1024,1042,0.3333,0.5833,0.6667
1024,1043,0.0000,0.1667,0.5833
1024,1044,0.5000,1.0000,1.0000
1024,1045,0.2500,0.3333,0.5000
1024,1046,0.0000,0.0000,0.2500
1024,1047,0.0833,0.3333,0.7500
1024,1048,0.0000,0.3333,0.5000
1024,1049,0.0000,0.0000,0.5833
1024,1050,0.0000,0.0000,0.2500
1024,1051,0.0000,0.4167,0.6667
2048,1042,0.0000,0.0833,0.3333
2048,1043,0.0000,0.5000,0.9167
2048,1044,0.6667,0.6667,0.6667
2048,1045,0.2500,0.6667,0.6667
2048,1046,0.0000,0.2500,0.6667
2048,1047,0.6667,0.6667,0.8333
2048,1048,0.1667,0.3333,0.5000
2048,1049,0.0000,0.5000,0.5833
2048,1050,0.0000,0.5833,0.8333
2048,1051,0.3333,0.6667,0.6667
4096,1042,0.0000,0.2500,0.4167
4096,1043,0.0000,0.0833,0.6667
4096,1044,0.0000,0.0833,0.5833
4096,1045,0.0000,0.6667,1.0000
4096,1046,0.0000,0.0833,0.3333
4096,1047,0.3333,0.3333,0.5000
4096,1048,0.2500,0.5833,0.8333
4096,1049,0.4167,0.7500,0.9167
4096,1050,0.0000,0.2500,0.5000
4096,1051,0.2500,0.3333,0.3333
8192,1042,0.4167,0.7500,1.0000
8192,1043,0.0000,0.1667,0.5000
8192,1044,0.0833,0.4167,0.6667
8192,1045,0.0833,0.2500,0.9167
8192,1046,0.1667,0.4167,0.7500
8192,1047,0.0000,0.7500,1.0000
8192,1048,0.0000,0.5000,0.6667
8192,1049,0.0000,0.0833,0.6667
8192,1050,0.1667,0.5000,0.6667
8192,1051,0.0833,0.3333,0.5833
