D,metric,value
1024,comp_top1,0.3333
1024,comp_top3,0.5833
1024,comp_top5,0.6667
1024,unbind_sim,0.0059
1024,sim_gatto_micio,0.8326
1024,sim_gatto_felino,0.8299
1024,sim_cane_cucciolo,0.8313
1024,sim_mamma_papa,0.5156
1024,sim_gatto_treno,0.0000
1024,mem_surviving,5
1024,ms_slow_a,0.9948
1024,ms_combined_a,0.7891
1024,anaphora_t1_t3,0.9595
1024,sentence_gap,0.6843
1024,sentence_dif,-0.0085
1024,consistency,1.0000
1024,max_random_sim,0.1250
1024,step_us,1972.5
1024,capacity_10,0.0667
2048,comp_top1,0.0000
2048,comp_top3,0.0833
2048,comp_top5,0.3333
2048,unbind_sim,-0.0173
2048,sim_gatto_micio,0.8316
2048,sim_gatto_felino,0.8282
2048,sim_cane_cucciolo,0.8427
2048,sim_mamma_papa,0.5097
2048,sim_gatto_treno,0.0000
2048,mem_surviving,5
2048,ms_slow_a,0.9948
2048,ms_combined_a,0.7858
2048,anaphora_t1_t3,0.9596
2048,sentence_gap,0.6415
2048,sentence_dif,0.0223
2048,consistency,1.0000
2048,max_random_sim,0.0918
2048,step_us,7721.7
2048,capacity_10,0.2667
4096,comp_top1,0.0000
4096,comp_top3,0.2500
4096,comp_top5,0.4167
4096,unbind_sim,-0.0033
4096,sim_gatto_micio,0.8183
4096,sim_gatto_felino,0.8197
4096,sim_cane_cucciolo,0.8527
4096,sim_mamma_papa,0.5141
4096,sim_gatto_treno,0.0000
4096,mem_surviving,5
4096,ms_slow_a,0.9948
4096,ms_combined_a,0.7917
4096,anaphora_t1_t3,0.9596
4096,sentence_gap,0.6398
4096,sentence_dif,0.0246
4096,consistency,1.0000
4096,max_random_sim,0.0649
4096,step_us,9191.4
4096,capacity_10,0.0000
8192,comp_top1,0.4167
8192,comp_top3,0.7500
8192,comp_top5,1.0000
8192,unbind_sim,0.0088
8192,sim_gatto_micio,0.8221
8192,sim_gatto_felino,0.8182
8192,sim_cane_cucciolo,0.8399
8192,sim_mamma_papa,0.4975
8192,sim_gatto_treno,0.0000
8192,mem_surviving,5
8192,ms_slow_a,0.9949
8192,ms_combined_a,0.7888
8192,anaphora_t1_t3,0.9595
8192,sentence_gap,0.6556
8192,sentence_dif,0.0134
8192,consistency,1.0000
8192,max_random_sim,0.0493
8192,step_us,13833.3
8192,capacity_10,0.0000
