rank,word_a,word_b,similarity
1,popolare,margherita,0.999091
2,nonni,memoria,0.998998
3,compleanno,festeggia,0.998496
4,biscotto,appetito,0.998434
5,colazione,pasto,0.998340
6,calde,coperte,0.998336
7,lettino,peluche,0.998299
8,vicini,dormono,0.997985
9,gomitolo,lana,0.997898
10,ricette,trattoria,0.997895
11,lava,zampe,0.997564
12,salutare,dieta,0.997488
13,suona,chitarra,0.997465
14,appare,arcobaleno,0.997386
15,panino,ragazzo,0.997366
16,bambole,camera,0.997364
17,mediterranea,dieta,0.997272
18,mediterranea,salutare,0.997268
19,acquario,osserva,0.997145
20,illumina,fulmine,0.997108
