type,test_idx,train_idx,similarity
unrelated,0,0,0.040253
unrelated,0,1,0.001982
unrelated,0,2,-0.042196
unrelated,0,3,0.001961
unrelated,0,4,-0.058973
unrelated,0,5,-0.050243
unrelated,0,6,0.025489
unrelated,0,7,-0.009344
unrelated,0,8,0.026757
unrelated,0,9,-0.021661
unrelated,0,10,0.019963
unrelated,0,11,-0.012399
unrelated,0,12,0.057080
unrelated,0,13,-0.005416
unrelated,0,14,-0.000000
unrelated,0,15,0.054598
unrelated,0,16,0.023567
unrelated,0,17,-0.047374
unrelated,0,18,0.034576
unrelated,0,19,-0.010712
unrelated,0,20,0.037609
unrelated,0,21,-0.028438
unrelated,0,22,-0.037876
unrelated,0,23,0.082290
unrelated,0,24,0.006991
unrelated,0,25,-0.039093
unrelated,0,26,0.019566
unrelated,0,27,-0.011556
unrelated,0,28,0.079581
unrelated,0,29,-0.023424
unrelated,0,30,-0.034951
unrelated,0,31,0.030744
unrelated,0,32,0.011810
unrelated,0,33,0.000241
unrelated,0,34,0.005280
related,0,35,0.018720
unrelated,0,36,0.024304
unrelated,0,37,0.040418
unrelated,0,38,-0.025474
unrelated,0,39,0.048880
unrelated,0,40,0.039247
unrelated,0,41,0.048907
unrelated,0,42,0.031270
related,0,43,0.124437
unrelated,0,44,-0.007008
unrelated,0,45,0.008841
unrelated,0,46,-0.005411
unrelated,0,47,-0.004130
unrelated,0,48,0.006941
unrelated,0,49,-0.010739
unrelated,0,50,0.057969
unrelated,0,51,-0.040261
unrelated,0,52,0.016682
unrelated,0,53,-0.035638
unrelated,0,54,0.002962
unrelated,0,55,0.013147
unrelated,0,56,0.037187
unrelated,0,57,0.044476
unrelated,0,58,-0.036536
unrelated,0,59,-0.013413
unrelated,0,60,0.003458
unrelated,0,61,-0.027389
unrelated,0,62,0.021417
unrelated,0,63,-0.032329
unrelated,0,64,-0.032937
unrelated,0,65,0.002469
unrelated,0,66,0.023504
unrelated,0,67,0.008790
unrelated,0,68,0.001760
unrelated,0,69,-0.040444
unrelated,0,70,-0.022853
unrelated,0,71,0.009813
unrelated,0,72,0.012623
unrelated,0,73,-0.042979
unrelated,0,74,-0.001752
unrelated,0,75,0.008240
unrelated,0,76,-0.000738
unrelated,0,77,0.072586
unrelated,0,78,-0.036206
unrelated,0,79,0.032298
unrelated,0,80,-0.029384
unrelated,0,81,-0.005465
unrelated,0,82,0.007018
unrelated,0,83,0.035619
unrelated,0,84,0.047721
unrelated,0,85,-0.006718
unrelated,0,86,-0.002873
unrelated,0,87,0.018308
unrelated,0,88,0.034257
unrelated,0,89,-0.053063
unrelated,0,90,0.073971
unrelated,0,91,-0.014490
unrelated,0,92,-0.006431
unrelated,0,93,0.007790
unrelated,0,94,0.018596
unrelated,0,95,-0.053361
unrelated,0,96,-0.063573
unrelated,0,97,-0.019113
unrelated,0,98,-0.032345
unrelated,0,99,0.004172
unrelated,0,100,-0.004399
unrelated,0,101,0.005021
unrelated,0,102,-0.026843
unrelated,0,103,-0.000931
unrelated,0,104,0.008540
unrelated,0,105,0.037755
unrelated,0,106,-0.021984
unrelated,0,107,-0.015266
unrelated,0,108,0.016575
unrelated,0,109,-0.031442
unrelated,0,110,-0.028636
unrelated,0,111,0.001012
unrelated,0,112,-0.040526
unrelated,0,113,-0.017092
unrelated,0,114,-0.015818
unrelated,0,115,0.034905
unrelated,0,116,0.058196
unrelated,0,117,-0.018787
unrelated,0,118,-0.016577
unrelated,0,119,0.024045
unrelated,0,120,-0.028447
unrelated,0,121,-0.039765
unrelated,0,122,-0.008087
unrelated,0,123,-0.019604
unrelated,0,124,-0.004902
unrelated,0,125,-0.025891
