category,step,convergence_similarity
Animal,0,0.934572
Animal,1,0.940479
Animal,2,0.953968
Animal,3,0.968418
Animal,4,0.979729
Animal,5,0.987242
Animal,6,0.991723
Animal,7,0.994017
Animal,8,0.994246
Animal,9,0.988368
Animal,10,0.935812
Animal,11,0.947840
Animal,12,0.941147
Animal,13,0.934641
Animal,14,0.938883
Animal,15,0.951645
Animal,16,0.965887
Animal,17,0.977303
Animal,18,0.985054
Animal,19,0.989732
Animal,20,0.992028
Animal,21,0.991690
Animal,22,0.982085
Animal,23,0.934519
Animal,24,0.944639
Animal,25,0.938229
Animal,26,0.934640
Animal,27,0.941758
Animal,28,0.955574
Animal,29,0.969370
Animal,30,0.979811
Animal,31,0.986540
Animal,32,0.990250
Animal,33,0.991225
Animal,34,0.986544
Animal,35,0.947291
Animal,36,0.940915
Animal,37,0.938511
Animal,38,0.934523
Animal,39,0.940069
Animal,40,0.952947
Animal,41,0.966700
Animal,42,0.977522
Animal,43,0.984730
Animal,44,0.988799
Animal,45,0.989927
Animal,46,0.985004
Animal,47,0.946606
Animal,48,0.940557
Animal,49,0.938488
Animal,50,0.934519
Animal,51,0.939969
Animal,52,0.952907
Animal,53,0.966815
Animal,54,0.977758
Animal,55,0.984985
Animal,56,0.988995
Animal,57,0.989969
Animal,58,0.984492
Animal,59,0.944999
Animal,60,0.939489
Animal,61,0.937250
Animal,62,0.934666
Animal,63,0.941402
Animal,64,0.954590
Animal,65,0.968036
Animal,66,0.978413
Animal,67,0.985203
Animal,68,0.988922
Animal,69,0.989534
Animal,70,0.982526
Animal,71,0.939250
Animal,72,0.940733
Animal,73,0.937271
Animal,74,0.934726
Animal,75,0.941905
Animal,76,0.955428
Animal,77,0.968958
Animal,78,0.979226
Animal,79,0.985841
Animal,80,0.989325
Animal,81,0.989578
Animal,82,0.981103
Animal,83,0.936994
Animal,84,0.939814
Animal,85,0.936151
Animal,86,0.935255
Animal,87,0.943792
Animal,88,0.957460
Animal,89,0.970423
Animal,90,0.980057
Animal,91,0.986182
Animal,92,0.989320
Animal,93,0.989101
Animal,94,0.978133
Animal,95,0.934671
Animal,96,0.940992
Animal,97,0.936234
Animal,98,0.935326
Animal,99,0.944202
Animal,100,0.958162
Animal,101,0.971207
Animal,102,0.980756
Animal,103,0.986722
Animal,104,0.989650
Animal,105,0.989053
Animal,106,0.976159
Animal,107,0.934519
Animal,108,0.939893
Animal,109,0.935433
Animal,110,0.936087
Animal,111,0.945991
Animal,112,0.959896
Animal,113,0.972376
Animal,114,0.981369
Animal,115,0.986935
Animal,116,0.989568
Animal,117,0.988480
Animal,118,0.972479
Animal,119,0.935256
Animal,120,0.940900
Animal,121,0.935564
Animal,122,0.936062
Animal,123,0.946141
Animal,124,0.960289
Animal,125,0.972884
Animal,126,0.981873
Animal,127,0.987353
Animal,128,0.989833
Animal,129,0.988407
Animal,130,0.970640
Animal,131,0.935386
Animal,132,0.939683
Animal,133,0.935003
Animal,134,0.936932
Animal,135,0.947766
Animal,136,0.961736
Animal,137,0.973803
Animal,138,0.982306
Animal,139,0.987467
Animal,140,0.989701
Animal,141,0.987783
Animal,142,0.966568
Animal,143,0.936955
Animal,144,0.940502
Animal,145,0.935107
Animal,146,0.936854
Animal,147,0.947814
Animal,148,0.962012
Animal,149,0.974217
Animal,150,0.982735
Animal,151,0.987822
Animal,152,0.989930
Animal,153,0.987680
Animal,154,0.964749
Animal,155,0.936768
Animal,156,0.939234
Animal,157,0.934710
Animal,158,0.937841
Animal,159,0.949414
Animal,160,0.963342
Animal,161,0.975025
Animal,162,0.983101
Animal,163,0.987892
Animal,164,0.989760
Animal,165,0.986958
Animal,166,0.960022
Animal,167,0.938477
Animal,168,0.939862
Animal,169,0.934766
Animal,170,0.937796
Animal,171,0.949552
Animal,172,0.963709
Animal,173,0.975485
Animal,174,0.983548
Animal,175,0.988253
Animal,176,0.989961
Animal,177,0.986734
Animal,178,0.957753
Animal,179,0.938048
Animal,180,0.938562
Animal,181,0.934548
Animal,182,0.938993
Animal,183,0.951254
Animal,184,0.965083
Animal,185,0.976296
Animal,186,0.983902
Animal,187,0.988308
Animal,188,0.989755
Animal,189,0.985745
Animal,190,0.951974
Animal,191,0.939712
Animal,192,0.938933
Animal,193,0.934545
Animal,194,0.939132
Animal,195,0.951663
Animal,196,0.965670
Animal,197,0.976917
Animal,198,0.984437
Animal,199,0.988689
Vehicle,0,0.987769
Vehicle,1,0.991337
Vehicle,2,0.992851
Vehicle,3,0.991705
Vehicle,4,0.979232
Vehicle,5,0.935037
Vehicle,6,0.944917
Vehicle,7,0.938082
Vehicle,8,0.934666
Vehicle,9,0.941900
Vehicle,10,0.955598
Vehicle,11,0.969242
Vehicle,12,0.979632
Vehicle,13,0.986467
Vehicle,14,0.990442
Vehicle,15,0.992058
Vehicle,16,0.990266
Vehicle,17,0.969541
Vehicle,18,0.939700
Vehicle,19,0.943937
Vehicle,20,0.936367
Vehicle,21,0.935548
Vehicle,22,0.945237
Vehicle,23,0.959593
Vehicle,24,0.972596
Vehicle,25,0.981934
Vehicle,26,0.987720
Vehicle,27,0.990628
Vehicle,28,0.990441
Vehicle,29,0.980377
Vehicle,30,0.934806
Vehicle,31,0.941156
Vehicle,32,0.936286
Vehicle,33,0.935300
Vehicle,34,0.944101
Vehicle,35,0.957922
Vehicle,36,0.970865
Vehicle,37,0.980410
Vehicle,38,0.986451
Vehicle,39,0.989540
Vehicle,40,0.989304
Vehicle,41,0.978390
Vehicle,42,0.934637
Vehicle,43,0.941263
Vehicle,44,0.936349
Vehicle,45,0.935264
Vehicle,46,0.944044
Vehicle,47,0.958001
Vehicle,48,0.971091
Vehicle,49,0.980698
Vehicle,50,0.986716
Vehicle,51,0.989692
Vehicle,52,0.989202
Vehicle,53,0.976968
Vehicle,54,0.934541
Vehicle,55,0.939976
Vehicle,56,0.935534
Vehicle,57,0.935947
Vehicle,58,0.945680
Vehicle,59,0.959562
Vehicle,60,0.972121
Vehicle,61,0.981196
Vehicle,62,0.986851
Vehicle,63,0.989548
Vehicle,64,0.988592
Vehicle,65,0.973409
Vehicle,66,0.935023
Vehicle,67,0.940944
Vehicle,68,0.935654
Vehicle,69,0.935940
Vehicle,70,0.945852
Vehicle,71,0.959990
Vehicle,72,0.972649
Vehicle,73,0.981718
Vehicle,74,0.987267
Vehicle,75,0.989816
Vehicle,76,0.988533
Vehicle,77,0.971594
Vehicle,78,0.935172
Vehicle,79,0.939736
Vehicle,80,0.935064
Vehicle,81,0.936786
Vehicle,82,0.947479
Vehicle,83,0.961448
Vehicle,84,0.973578
Vehicle,85,0.982165
Vehicle,86,0.987382
Vehicle,87,0.989685
Vehicle,88,0.987908
Vehicle,89,0.967596
Vehicle,90,0.936673
Vehicle,91,0.940585
Vehicle,92,0.935181
Vehicle,93,0.936705
Vehicle,94,0.947537
Vehicle,95,0.961733
Vehicle,96,0.974004
Vehicle,97,0.982601
Vehicle,98,0.987745
Vehicle,99,0.989918
Vehicle,100,0.987820
Vehicle,101,0.965811
Vehicle,102,0.936526
Vehicle,103,0.939326
Vehicle,104,0.934748
Vehicle,105,0.937677
Vehicle,106,0.949128
Vehicle,107,0.963069
Vehicle,108,0.974815
Vehicle,109,0.982968
Vehicle,110,0.987818
Vehicle,111,0.989750
Vehicle,112,0.987111
Vehicle,113,0.961224
Vehicle,114,0.938242
Vehicle,115,0.939987
Vehicle,116,0.934818
Vehicle,117,0.937616
Vehicle,118,0.949239
Vehicle,119,0.963398
Vehicle,120,0.975259
Vehicle,121,0.983403
Vehicle,122,0.988176
Vehicle,123,0.989961
Vehicle,124,0.986921
Vehicle,125,0.959079
Vehicle,126,0.937836
Vehicle,127,0.938689
Vehicle,128,0.934564
Vehicle,129,0.938764
Vehicle,130,0.950910
Vehicle,131,0.964750
Vehicle,132,0.976062
Vehicle,133,0.983757
Vehicle,134,0.988234
Vehicle,135,0.989762
Vehicle,136,0.985999
Vehicle,137,0.953495
Vehicle,138,0.939520
Vehicle,139,0.939120
Vehicle,140,0.934571
Vehicle,141,0.938872
Vehicle,142,0.951271
Vehicle,143,0.965299
Vehicle,144,0.976652
Vehicle,145,0.984274
Vehicle,146,0.988614
Vehicle,147,0.989927
Vehicle,148,0.985539
Vehicle,149,0.950501
Vehicle,150,0.938927
Vehicle,151,0.937790
Vehicle,152,0.934539
Vehicle,153,0.940317
Vehicle,154,0.953158
Vehicle,155,0.966789
Vehicle,156,0.977529
Vehicle,157,0.984670
Vehicle,158,0.988677
Vehicle,159,0.989666
Vehicle,160,0.984117
Vehicle,161,0.944053
Vehicle,162,0.940427
Vehicle,163,0.937937
Vehicle,164,0.934555
Vehicle,165,0.940691
Vehicle,166,0.953869
Vehicle,167,0.967622
Vehicle,168,0.978305
Vehicle,169,0.985278
Vehicle,170,0.989080
Vehicle,171,0.989762
Vehicle,172,0.983062
Vehicle,173,0.940812
Vehicle,174,0.939616
Vehicle,175,0.936678
Vehicle,176,0.934901
Vehicle,177,0.942525
Vehicle,178,0.955969
Vehicle,179,0.969191
Vehicle,180,0.979211
Vehicle,181,0.985688
Vehicle,182,0.989125
Vehicle,183,0.989366
Vehicle,184,0.980671
Vehicle,185,0.936221
Vehicle,186,0.940896
Vehicle,187,0.936722
Vehicle,188,0.934979
Vehicle,189,0.943028
Vehicle,190,0.956792
Vehicle,191,0.970089
Vehicle,192,0.980003
Vehicle,193,0.986284
Vehicle,194,0.989497
Vehicle,195,0.989342
Vehicle,196,0.978861
Vehicle,197,0.935087
Vehicle,198,0.939882
Vehicle,199,0.935762
Food,0,0.934696
Food,1,0.934670
Food,2,0.936801
Food,3,0.947210
Food,4,0.961452
Food,5,0.974171
Food,6,0.983287
Food,7,0.989016
Food,8,0.992104
Food,9,0.992788
Food,10,0.987750
Food,11,0.940302
Food,12,0.944843
Food,13,0.939806
Food,14,0.934537
Food,15,0.939642
Food,16,0.952545
Food,17,0.966443
Food,18,0.977406
Food,19,0.984686
Food,20,0.988801
Food,21,0.989976
Food,22,0.985251
Food,23,0.947495
Food,24,0.940702
Food,25,0.938786
Food,26,0.934517
Food,27,0.939677
Food,28,0.952558
Food,29,0.966577
Food,30,0.977693
Food,31,0.985078
Food,32,0.989267
Food,33,0.990585
Food,34,0.986625
Food,35,0.952490
Food,36,0.939491
Food,37,0.938509
Food,38,0.934516
Food,39,0.939583
Food,40,0.952167
Food,41,0.965930
Food,42,0.976925
Food,43,0.984281
Food,44,0.988469
Food,45,0.989643
Food,46,0.984706
Food,47,0.946805
Food,48,0.940211
Food,49,0.938293
Food,50,0.934516
Food,51,0.940102
Food,52,0.953073
Food,53,0.966936
Food,54,0.977837
Food,55,0.985027
Food,56,0.989009
Food,57,0.989946
Food,58,0.984323
Food,59,0.944437
Food,60,0.939508
Food,61,0.937174
Food,62,0.934694
Food,63,0.941547
Food,64,0.954760
Food,65,0.968186
Food,66,0.978511
Food,67,0.985261
Food,68,0.988934
Food,69,0.989490
Food,70,0.982218
Food,71,0.938640
Food,72,0.940754
Food,73,0.937161
Food,74,0.934767
Food,75,0.942114
Food,76,0.955675
Food,77,0.969171
Food,78,0.979373
Food,79,0.985919
Food,80,0.989365
Food,81,0.989559
Food,82,0.980784
Food,83,0.936573
Food,84,0.939840
Food,85,0.936090
Food,86,0.935314
Food,87,0.943974
Food,88,0.957673
Food,89,0.970602
Food,90,0.980177
Food,91,0.986250
Food,92,0.989347
Food,93,0.989053
Food,94,0.977709
Food,95,0.934589
Food,96,0.940999
Food,97,0.936169
Food,98,0.935379
Food,99,0.944378
Food,100,0.958351
Food,101,0.971364
Food,102,0.980861
Food,103,0.986779
Food,104,0.989673
Food,105,0.989001
Food,106,0.975751
Food,107,0.934528
Food,108,0.939889
Food,109,0.935389
Food,110,0.936150
Food,111,0.946142
Food,112,0.960052
Food,113,0.972502
Food,114,0.981454
Food,115,0.986988
Food,116,0.989590
Food,117,0.988432
Food,118,0.972034
Food,119,0.935384
Food,120,0.940886
Food,121,0.935528
Food,122,0.936115
Food,123,0.946279
Food,124,0.960426
Food,125,0.972996
Food,126,0.981939
Food,127,0.987384
Food,128,0.989844
Food,129,0.988363
Food,130,0.970202
Food,131,0.935489
Food,132,0.939649
Food,133,0.934967
Food,134,0.936989
Food,135,0.947883
Food,136,0.961853
Food,137,0.973903
Food,138,0.982373
Food,139,0.987500
Food,140,0.989709
Food,141,0.987730
Food,142,0.966093
Food,143,0.937077
Food,144,0.940474
Food,145,0.935085
Food,146,0.936913
Food,147,0.947946
Food,148,0.962126
Food,149,0.974305
Food,150,0.982800
Food,151,0.987853
Food,152,0.989926
Food,153,0.987623
Food,154,0.964263
Food,155,0.936867
Food,156,0.939186
Food,157,0.934698
Food,158,0.937914
Food,159,0.949538
Food,160,0.963472
Food,161,0.975117
Food,162,0.983165
Food,163,0.987921
Food,164,0.989761
Food,165,0.986875
Food,166,0.959469
Food,167,0.938583
Food,168,0.939808
Food,169,0.934741
Food,170,0.937883
Food,171,0.949704
Food,172,0.963849
Food,173,0.975585
Food,174,0.983607
Food,175,0.988272
Food,176,0.989959
Food,177,0.986641
Food,178,0.957149
Food,179,0.938136
Food,180,0.938494
Food,181,0.934532
Food,182,0.939104
Food,183,0.951414
Food,184,0.965227
Food,185,0.976402
Food,186,0.983964
Food,187,0.988337
Food,188,0.989747
Food,189,0.985627
Food,190,0.951283
Food,191,0.939790
Food,192,0.938851
Food,193,0.934534
Food,194,0.939246
Food,195,0.951850
Food,196,0.965845
Food,197,0.977040
Food,198,0.984513
Food,199,0.988725
