step,layer,neuron,tau_value
0,inter,0,2.000000
0,inter,1,2.000000
0,inter,2,2.000000
0,inter,3,2.000000
1,inter,0,1.941760
1,inter,1,1.973947
1,inter,2,2.078430
1,inter,3,1.942182
2,inter,0,2.269157
2,inter,1,1.944213
2,inter,2,1.942666
2,inter,3,2.288129
3,inter,0,2.002206
3,inter,1,2.133093
3,inter,2,2.053666
3,inter,3,2.081390
4,inter,0,1.956454
4,inter,1,1.887672
4,inter,2,2.099032
4,inter,3,1.915638
5,inter,0,2.039581
5,inter,1,1.979851
5,inter,2,2.055868
5,inter,3,1.934578
6,inter,0,1.989539
6,inter,1,1.917690
6,inter,2,2.056537
6,inter,3,2.033032
7,inter,0,2.023987
7,inter,1,2.127467
7,inter,2,1.782287
7,inter,3,2.135692
8,inter,0,1.801485
8,inter,1,1.962407
8,inter,2,1.959278
8,inter,3,1.804944
9,inter,0,2.006949
9,inter,1,2.322633
9,inter,2,1.966673
9,inter,3,1.864878
10,inter,0,2.000402
10,inter,1,1.994772
10,inter,2,2.006123
10,inter,3,1.994257
11,inter,0,1.997240
11,inter,1,1.749330
11,inter,2,2.045854
11,inter,3,2.147967
12,inter,0,2.253348
12,inter,1,2.038594
12,inter,2,2.042815
12,inter,3,2.247066
13,inter,0,1.976203
13,inter,1,1.893964
13,inter,2,2.265201
13,inter,3,1.889966
14,inter,0,2.008088
14,inter,1,2.101619
14,inter,2,1.936398
14,inter,3,1.977829
15,inter,0,1.961313
15,inter,1,2.021893
15,inter,2,1.946012
15,inter,3,2.067254
16,inter,0,2.047949
16,inter,1,2.114057
16,inter,2,1.919051
16,inter,3,2.079292
17,inter,0,1.994034
17,inter,1,1.877944
17,inter,2,1.952928
17,inter,3,1.914999
18,inter,0,1.790510
18,inter,1,2.064299
18,inter,2,2.055390
18,inter,3,1.780994
19,inter,0,2.067801
19,inter,1,2.032353
19,inter,2,1.923560
19,inter,3,2.074644
20,inter,0,1.999984
20,inter,1,2.000964
20,inter,2,2.000406
20,inter,3,2.002935
21,inter,0,1.941833
21,inter,1,1.974340
21,inter,2,2.078663
21,inter,3,1.943538
22,inter,0,2.269261
22,inter,1,1.944414
22,inter,2,1.942720
22,inter,3,2.289029
23,inter,0,2.002249
23,inter,1,2.133219
23,inter,2,2.053680
23,inter,3,2.081757
24,inter,0,1.956483
24,inter,1,1.887717
24,inter,2,2.099038
24,inter,3,1.915796
25,inter,0,2.039598
25,inter,1,1.979874
25,inter,2,2.055871
25,inter,3,1.934656
26,inter,0,1.989548
26,inter,1,1.917701
26,inter,2,2.056536
26,inter,3,2.033077
27,inter,0,2.023990
27,inter,1,2.127476
27,inter,2,1.782284
27,inter,3,2.135714
28,inter,0,1.801486
28,inter,1,1.962410
28,inter,2,1.959276
28,inter,3,1.804952
29,inter,0,2.006950
29,inter,1,2.322637
29,inter,2,1.966672
29,inter,3,1.864882
30,inter,0,2.000402
30,inter,1,1.994773
30,inter,2,2.006122
30,inter,3,1.994259
31,inter,0,1.997241
31,inter,1,1.749332
31,inter,2,2.045853
31,inter,3,2.147969
32,inter,0,2.253348
32,inter,1,2.038594
32,inter,2,2.042815
32,inter,3,2.247067
33,inter,0,1.976203
33,inter,1,1.893964
33,inter,2,2.265201
33,inter,3,1.889967
34,inter,0,2.008088
34,inter,1,2.101620
34,inter,2,1.936398
34,inter,3,1.977829
35,inter,0,1.961313
35,inter,1,2.021893
35,inter,2,1.946012
35,inter,3,2.067254
36,inter,0,2.047950
36,inter,1,2.114058
36,inter,2,1.919050
36,inter,3,2.079293
37,inter,0,1.994033
37,inter,1,1.877943
37,inter,2,1.952928
37,inter,3,1.914998
38,inter,0,1.790510
38,inter,1,2.064298
38,inter,2,2.055390
38,inter,3,1.780994
39,inter,0,2.067801
39,inter,1,2.032353
39,inter,2,1.923560
39,inter,3,2.074644
40,inter,0,1.999984
40,inter,1,2.000964
40,inter,2,2.000406
40,inter,3,2.002935
41,inter,0,1.941833
41,inter,1,1.974340
41,inter,2,2.078662
41,inter,3,1.943538
42,inter,0,2.269260
42,inter,1,1.944415
42,inter,2,1.942719
42,inter,3,2.289029
43,inter,0,2.002248
43,inter,1,2.133219
43,inter,2,2.053681
43,inter,3,2.081756
44,inter,0,1.956483
44,inter,1,1.887717
44,inter,2,2.099038
44,inter,3,1.915796
45,inter,0,2.039599
45,inter,1,1.979875
45,inter,2,2.055871
45,inter,3,1.934657
46,inter,0,1.989548
46,inter,1,1.917701
46,inter,2,2.056536
46,inter,3,2.033076
47,inter,0,2.023990
47,inter,1,2.127477
47,inter,2,1.782284
47,inter,3,2.135714
48,inter,0,1.801486
48,inter,1,1.962411
48,inter,2,1.959276
48,inter,3,1.804951
49,inter,0,2.006950
49,inter,1,2.322637
49,inter,2,1.966671
49,inter,3,1.864882
0,command,0,2.000000
0,command,1,2.000000
0,command,2,2.000000
0,command,3,2.000000
1,command,0,1.998874
1,command,1,2.002789
1,command,2,1.991964
1,command,3,2.000007
2,command,0,1.986014
2,command,1,1.990343
2,command,2,1.992162
2,command,3,1.993588
3,command,0,1.997182
3,command,1,1.998610
3,command,2,2.001371
3,command,3,1.998107
4,command,0,1.998873
4,command,1,2.002641
4,command,2,1.997803
4,command,3,1.999876
5,command,0,2.001171
5,command,1,1.994205
5,command,2,1.994483
5,command,3,2.001627
6,command,0,1.995169
6,command,1,2.000016
6,command,2,1.995591
6,command,3,1.994964
7,command,0,1.994682
7,command,1,1.998174
7,command,2,1.996898
7,command,3,1.995304
8,command,0,2.022557
8,command,1,2.013236
8,command,2,2.015347
8,command,3,2.014860
9,command,0,2.009187
9,command,1,2.004567
9,command,2,2.010823
9,command,3,2.006313
10,command,0,2.004478
10,command,1,2.002736
10,command,2,2.005555
10,command,3,2.002987
11,command,0,2.003321
11,command,1,2.004514
11,command,2,1.999716
11,command,3,2.001926
12,command,0,1.980660
12,command,1,1.991658
12,command,2,1.984985
12,command,3,1.986888
13,command,0,1.993116
13,command,1,1.996447
13,command,2,1.992775
13,command,3,1.996193
14,command,0,2.001980
14,command,1,1.995235
14,command,2,1.997554
14,command,3,2.003548
15,command,0,2.000607
15,command,1,2.005233
15,command,2,2.003194
15,command,3,2.000798
16,command,0,2.001293
16,command,1,2.000903
16,command,2,2.006297
16,command,3,1.999884
17,command,0,1.997061
17,command,1,1.997200
17,command,2,1.998590
17,command,3,1.998546
18,command,0,2.016302
18,command,1,2.011633
18,command,2,2.002687
18,command,3,2.008739
19,command,0,2.009405
19,command,1,2.003588
19,command,2,2.008727
19,command,3,2.004852
20,command,0,2.003975
20,command,1,2.001652
20,command,2,2.003711
20,command,3,2.002179
21,command,0,2.000580
21,command,1,2.003610
21,command,2,1.993631
21,command,3,2.000990
22,command,0,1.986709
22,command,1,1.990729
22,command,2,1.992824
22,command,3,1.994050
23,command,0,1.997474
23,command,1,1.998793
23,command,2,2.001657
23,command,3,1.998332
24,command,0,1.998988
24,command,1,2.002735
24,command,2,1.997929
24,command,3,1.999980
25,command,0,2.001212
25,command,1,1.994252
25,command,2,1.994536
25,command,3,2.001676
26,command,0,1.995182
26,command,1,2.000039
26,command,2,1.995613
26,command,3,1.994987
27,command,0,1.994683
27,command,1,1.998183
27,command,2,1.996903
27,command,3,1.995315
28,command,0,2.022555
28,command,1,2.013241
28,command,2,2.015348
28,command,3,2.014865
29,command,0,2.009184
29,command,1,2.004569
29,command,2,2.010823
29,command,3,2.006316
30,command,0,2.004476
30,command,1,2.002737
30,command,2,2.005555
30,command,3,2.002988
31,command,0,2.003320
31,command,1,2.004514
31,command,2,1.999715
31,command,3,2.001926
32,command,0,1.980659
32,command,1,1.991658
32,command,2,1.984984
32,command,3,1.986888
33,command,0,1.993115
33,command,1,1.996447
33,command,2,1.992775
33,command,3,1.996193
34,command,0,2.001980
34,command,1,1.995235
34,command,2,1.997554
