test,metric,baseline,improved
compositionality,top1,0.0833,1.0000
compositionality,top3,0.1667,1.0000
compositionality,top5,0.5833,1.0000
similarity,gatto-felino,0.1160,0.8294
similarity,gatto-micio,0.0049,0.8331
similarity,cane-cucciolo,0.0025,0.8321
similarity,mamma-papà,0.4445,0.5156
similarity,gatto-treno,0.0000,0.0000
memory,surviving,5,5
memory,max_strength,0.0836,1.0000
multiscale,sim_a_single,-0.0117,
multiscale,sim_a_multi,,0.9425
multiscale,sim_a_fast,,-0.0117
multiscale,sim_a_slow,,0.9948
sentence_sim,sim,0.6062,0.8357
sentence_sim,sim,0.5494,0.8364
sentence_sim,dif,0.0254,0.0558
sentence_sim,dif,-0.0126,-0.0019
sentence_sim,gap,0.0269,0.8091
anaphora,t1_trace_at_t3,,0.9595
anaphora,t3_current,,0.1985
analogy,distributional_consistency,,1.0000
