step,theme,fast_sim,slow_sim,combined_sim
1,animals,0.527253,0.527253,0.527253
1,food,0.078564,0.078564,0.078564
1,work,0.136426,0.136426,0.136426
1,nature,0.015035,0.015035,0.015035
2,animals,0.620458,0.535081,0.574211
2,food,0.092420,0.079728,0.085547
2,work,0.189099,0.140420,0.161290
2,nature,0.017593,0.015251,0.016330
3,animals,0.770370,0.547428,0.649543
3,food,0.086023,0.079652,0.083871
3,work,0.195869,0.141635,0.166648
3,nature,0.023967,0.015743,0.019419
4,animals,0.878271,0.559604,0.712606
4,food,0.176448,0.086370,0.126950
4,work,0.181199,0.141823,0.163429
4,nature,0.029827,0.016297,0.022516
5,animals,0.947465,0.570236,0.758693
5,food,0.162483,0.086647,0.123075
5,work,0.158877,0.141383,0.156110
5,nature,0.025522,0.016203,0.020969
6,animals,0.913481,0.572862,0.755943
6,food,0.395400,0.103094,0.234547
6,work,0.136064,0.140630,0.147971
6,nature,0.025628,0.016342,0.021381
7,animals,0.850068,0.572707,0.734188
7,food,0.512736,0.113098,0.293130
7,work,0.116359,0.139783,0.140054
7,nature,0.025292,0.016433,0.021454
8,animals,0.801610,0.572700,0.719415
8,food,0.592396,0.120444,0.334899
8,work,0.113766,0.139989,0.140252
8,nature,0.017841,0.016040,0.018152
9,animals,0.729953,0.575285,0.704635
9,food,0.735104,0.136911,0.416032
9,work,0.092138,0.139438,0.133283
9,nature,0.022471,0.016540,0.020915
10,animals,0.677596,0.577123,0.692751
10,food,0.818412,0.148885,0.467619
10,work,0.087395,0.139706,0.133297
10,nature,0.050997,0.018701,0.035484
11,animals,0.677207,0.579078,0.694802
11,food,0.755195,0.148346,0.439453
11,work,0.233810,0.149467,0.205862
11,nature,0.053858,0.019095,0.037081
12,animals,0.644145,0.579113,0.684256
12,food,0.712057,0.148241,0.422643
12,work,0.364317,0.158711,0.272462
12,nature,0.050086,0.019038,0.035571
13,animals,0.616988,0.579406,0.676726
13,food,0.668345,0.147794,0.405297
13,work,0.485195,0.167717,0.335504
13,nature,0.052432,0.019354,0.037096
14,animals,0.582775,0.578964,0.664328
14,food,0.638686,0.148004,0.394000
14,work,0.593091,0.176188,0.392481
14,nature,0.044812,0.019026,0.033578
15,animals,0.586531,0.580098,0.662016
15,food,0.582448,0.147273,0.365102
15,work,0.695389,0.185647,0.442590
15,nature,0.059741,0.020197,0.040919
16,animals,0.549758,0.580568,0.652173
16,food,0.569441,0.149452,0.364335
16,work,0.656312,0.186679,0.429851
16,nature,0.233657,0.032076,0.129356
17,animals,0.504564,0.579818,0.634138
17,food,0.527835,0.149659,0.347144
17,work,0.619707,0.187655,0.415836
17,nature,0.389804,0.043764,0.210158
18,animals,0.452487,0.579190,0.615643
18,food,0.488192,0.150338,0.332546
18,work,0.554485,0.187177,0.389183
18,nature,0.536321,0.056226,0.289195
19,animals,0.433055,0.579561,0.611425
19,food,0.454193,0.149816,0.318725
19,work,0.526184,0.187254,0.378886
19,nature,0.638109,0.064625,0.345076
20,animals,0.423206,0.580137,0.610267
20,food,0.422214,0.149080,0.304722
20,work,0.498718,0.187014,0.367666
20,nature,0.728829,0.072307,0.395056
