step,phase,initial_coherence,perceived_difficulty,alpha_max,gamma_adjustment,meta_signal,cycles_used,outcome,internal_coherence,field_stability,cycle_trend
0,easy,0.8837,0.0000,1.0000,0.0000,Normal,1,Achieved,0.8837,1.0000,1.0000
1,hard,0.1290,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1290,0.1002,1.0000
2,easy,0.8462,0.2687,0.8656,0.0806,Normal,1,Achieved,0.8462,0.1261,1.0000
3,hard,0.1187,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1187,0.1001,1.0000
4,easy,0.8270,0.3157,0.8422,0.0947,Normal,1,Achieved,0.8270,0.0878,1.0000
5,hard,0.1579,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1579,0.1715,1.0000
6,easy,0.8312,0.2937,0.8531,0.0881,Normal,1,Achieved,0.8312,0.1299,1.0000
7,hard,0.1784,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1784,0.1645,1.0000
8,easy,0.8264,0.3004,0.8498,0.0901,Normal,1,Achieved,0.8264,0.1344,1.0000
9,hard,0.1074,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1074,0.1008,1.0000
10,easy,0.8886,0.2060,0.8970,0.0618,Normal,1,Achieved,0.8886,0.0758,1.0000
11,hard,0.1490,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1490,0.1164,1.0000
12,easy,0.8162,0.3254,0.8373,0.0976,Normal,1,Achieved,0.8162,0.1148,1.0000
13,hard,0.1470,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1470,0.1196,1.0000
14,easy,0.8397,0.2852,0.8574,0.0856,Normal,1,Achieved,0.8397,0.1101,1.0000
15,hard,0.2126,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.2126,0.1675,1.0000
16,easy,0.8839,0.1890,0.9055,0.0567,Normal,1,Achieved,0.8839,0.1856,1.0000
17,hard,0.1530,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1530,0.1467,1.0000
18,easy,0.9009,0.1680,0.9160,0.0504,Normal,1,Achieved,0.9009,0.1528,1.0000
19,hard,0.1149,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1149,0.1033,1.0000
20,easy,0.8125,0.3354,0.8323,0.1006,Normal,1,Achieved,0.8125,0.1057,1.0000
21,hard,0.1203,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1203,0.1012,1.0000
22,easy,0.8416,0.2892,0.8554,0.0867,Normal,1,Achieved,0.8416,0.0872,1.0000
23,hard,0.1014,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1014,0.0916,1.0000
24,easy,0.8669,0.2390,0.8805,0.0717,Normal,1,Achieved,0.8669,0.1022,1.0000
25,hard,0.1183,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1183,0.0843,1.0000
26,easy,0.8451,0.2759,0.8621,0.0828,Normal,1,Achieved,0.8451,0.1093,1.0000
27,hard,0.1206,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1206,0.1220,1.0000
28,easy,0.8286,0.2961,0.8519,0.0888,Normal,1,Achieved,0.8286,0.1361,1.0000
29,hard,0.1591,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1591,0.1358,1.0000
30,easy,0.8584,0.2405,0.8797,0.0722,Normal,1,Achieved,0.8584,0.1503,1.0000
31,hard,0.1716,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1716,0.1345,1.0000
32,easy,0.8779,0.2068,0.8966,0.0620,Normal,1,Achieved,0.8779,0.1533,1.0000
33,hard,0.0905,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.0905,0.0680,1.0000
34,easy,0.8432,0.2941,0.8530,0.0882,Normal,1,Achieved,0.8432,0.0625,1.0000
35,hard,0.1927,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1927,0.1781,1.0000
36,easy,0.9040,0.1599,0.9201,0.0480,Normal,1,Achieved,0.9040,0.1674,1.0000
37,hard,0.1512,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1512,0.1096,1.0000
38,easy,0.8083,0.3351,0.8324,0.1005,Normal,1,Achieved,0.8083,0.1258,1.0000
39,hard,0.1553,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1553,0.1176,1.0000
40,easy,0.8206,0.3133,0.8434,0.0940,Normal,1,Achieved,0.8206,0.1268,1.0000
41,hard,0.0364,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.0364,0.0319,1.0000
42,easy,0.8929,0.2121,0.8939,0.0636,Normal,1,Achieved,0.8929,0.0101,1.0000
43,hard,0.1554,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.1554,0.1293,1.0000
44,easy,0.8422,0.2808,0.8596,0.0842,Normal,1,Achieved,0.8422,0.1101,1.0000
45,hard,0.0928,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.0928,0.0918,1.0000
46,easy,0.8703,0.2412,0.8794,0.0724,Normal,1,Achieved,0.8703,0.0699,1.0000
47,hard,0.0956,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.0956,0.0915,1.0000
48,easy,0.8465,0.2859,0.8570,0.0858,Normal,1,Achieved,0.8465,0.0685,1.0000
49,hard,0.0810,1.0000,0.5000,0.3000,Uncertain,2,Achieved,0.0810,0.0583,1.0000
