step,domain,predicted_difficulty,actual_difficulty,prediction_error,suspension_rate_rolling,strong_count,weak_count
0,A,0.5000,0.0000,0.5000,0.0000,1,0
1,A,0.3000,0.4009,0.1009,0.0000,1,0
2,A,0.3000,0.6403,0.3403,0.0000,1,0
3,A,0.3000,0.7169,0.4169,0.0000,1,1
4,A,0.4680,0.5143,0.0463,0.0000,1,1
5,A,0.4680,0.5146,0.0466,0.0000,1,1
6,A,0.4680,0.6585,0.1905,0.0000,1,1
7,A,0.4680,0.5344,0.0664,0.0000,1,1
8,A,0.4680,0.5164,0.0484,0.0000,1,1
9,A,0.4680,0.6258,0.1579,0.0000,1,1
10,A,0.4680,0.5757,0.1078,0.0000,1,1
11,A,0.4680,0.5283,0.0603,0.0000,1,1
12,A,0.4680,0.4859,0.0180,0.0000,1,1
13,A,0.4680,0.3499,0.1181,0.0000,1,1
14,A,0.4680,0.5013,0.0333,0.0000,1,1
15,A,0.4680,0.5345,0.0665,0.0000,1,1
16,A,0.4680,0.4555,0.0125,0.0000,1,1
17,A,0.4680,0.5908,0.1228,0.0000,1,1
18,A,0.4680,0.6641,0.1962,0.0000,1,1
19,A,0.4680,0.7043,0.2364,0.0000,1,2
20,A,0.4680,0.7108,0.2428,0.0000,1,3
21,A,0.4763,0.5698,0.0936,0.0000,1,3
22,A,0.4763,0.7290,0.2527,0.0000,1,4
23,A,0.4763,0.6892,0.2129,0.0000,1,4
24,A,0.4763,0.6812,0.2049,0.0000,1,4
25,A,0.4763,0.7064,0.2301,0.0000,1,5
26,A,0.4763,0.7556,0.2794,0.0000,1,5
27,A,0.4763,0.7756,0.2993,0.0000,1,5
28,A,0.4763,0.7794,0.3032,0.0000,1,5
29,A,0.4660,0.4984,0.0324,0.0000,1,5
30,B,0.5067,1.0000,0.4933,0.0000,1,5
31,B,0.5669,1.0000,0.4331,0.0000,1,5
32,B,0.5669,1.0000,0.4331,0.0000,1,5
33,B,0.5669,1.0000,0.4331,0.0000,1,5
34,B,0.5669,1.0000,0.4331,0.0000,1,5
35,B,0.5669,1.0000,0.4331,0.0000,1,5
36,B,0.5651,1.0000,0.4349,0.0000,1,5
37,B,0.5651,1.0000,0.4349,0.0000,1,5
38,B,0.5772,1.0000,0.4228,0.0000,1,5
39,B,0.5772,1.0000,0.4228,0.0000,1,5
40,B,0.5844,1.0000,0.4156,0.0000,1,5
41,B,0.5844,1.0000,0.4156,0.0000,1,5
42,B,0.5844,1.0000,0.4156,0.0000,1,5
43,B,0.5844,1.0000,0.4156,0.0000,1,5
44,B,0.5844,1.0000,0.4156,0.0000,1,5
45,B,0.5680,1.0000,0.4320,0.0000,1,5
46,B,0.5680,1.0000,0.4320,0.0000,1,5
47,B,0.5680,1.0000,0.4320,0.0000,1,5
48,B,0.5568,1.0000,0.4432,0.0000,1,5
49,B,0.5774,1.0000,0.4226,0.0000,1,5
50,B,0.5774,1.0000,0.4226,0.0000,1,5
51,B,0.5774,1.0000,0.4226,0.0000,1,5
52,B,0.5774,1.0000,0.4226,0.0000,1,5
53,B,0.5774,1.0000,0.4226,0.0000,1,5
54,B,0.5614,1.0000,0.4386,0.0000,1,5
55,B,0.5614,1.0000,0.4386,0.0000,1,5
56,B,0.5640,1.0000,0.4360,0.0000,1,5
57,B,0.5640,1.0000,0.4360,0.0000,1,5
58,B,0.5640,1.0000,0.4360,0.0000,1,5
59,B,0.5640,1.0000,0.4360,0.0000,1,5
60,C,0.5149,1.0000,0.4851,0.0000,1,5
61,C,0.7433,1.0000,0.2567,0.0000,1,5
62,C,0.7433,1.0000,0.2567,0.0000,1,5
63,C,0.7433,1.0000,0.2567,0.0000,1,5
64,C,0.7433,1.0000,0.2567,0.0000,1,5
65,C,0.7433,1.0000,0.2567,0.0000,1,5
66,C,0.7108,1.0000,0.2892,0.0000,1,5
67,C,0.8310,0.7716,0.0594,0.0000,1,5
68,C,0.8310,1.0000,0.1690,0.0000,1,5
69,C,0.8310,1.0000,0.1690,0.0000,1,5
70,C,0.8310,1.0000,0.1690,0.0000,1,5
71,C,0.8310,1.0000,0.1690,0.0000,1,5
72,C,0.7881,1.0000,0.2119,0.0000,1,5
73,C,0.7602,1.0000,0.2398,0.0000,1,5
74,C,0.7602,1.0000,0.2398,0.0000,1,5
75,C,0.7602,1.0000,0.2398,0.0000,1,5
76,C,0.8098,1.0000,0.1902,0.0000,1,5
77,C,0.8098,1.0000,0.1902,0.0000,1,5
78,C,0.8098,1.0000,0.1902,0.0000,1,5
79,C,0.8098,1.0000,0.1902,0.0000,1,5
80,C,0.8098,1.0000,0.1902,0.0000,1,5
81,C,0.8156,1.0000,0.1844,0.0000,1,5
82,C,0.8156,1.0000,0.1844,0.0000,1,5
83,C,0.8156,1.0000,0.1844,0.0000,1,5
84,C,0.8156,1.0000,0.1844,0.0000,1,5
85,C,0.8156,1.0000,0.1844,0.0000,1,5
86,C,0.7859,1.0000,0.2141,0.0000,1,5
87,C,0.7859,1.0000,0.2141,0.0000,1,5
88,C,0.7859,1.0000,0.2141,0.0000,1,5
89,C,0.7777,1.0000,0.2223,0.0000,1,5
90,C,0.7777,1.0000,0.2223,0.0000,1,5
91,C,0.8238,1.0000,0.1762,0.0000,1,5
92,C,0.8238,1.0000,0.1762,0.0000,1,5
93,C,0.8331,1.0000,0.1669,0.0000,1,5
94,C,0.8331,1.0000,0.1669,0.0000,1,5
95,C,0.8331,1.0000,0.1669,0.0000,1,5
96,C,0.8331,1.0000,0.1669,0.0000,1,5
97,C,0.8331,1.0000,0.1669,0.0000,1,5
98,C,0.7557,1.0000,0.2443,0.0000,1,5
99,C,0.7557,1.0000,0.2443,0.0000,1,5
