alpha,steps,top1,top3,top5
0.3,1,0.3333,0.5833,0.6667
0.3,2,0.3333,0.5833,0.6667
0.3,3,0.3333,0.5833,0.6667
0.3,5,0.3333,0.5833,0.6667
0.3,7,0.3333,0.5833,0.6667
0.3,10,0.3333,0.5833,0.6667
0.5,1,0.3333,0.5833,0.6667
0.5,2,0.3333,0.5833,0.6667
0.5,3,0.3333,0.5833,0.6667
0.5,5,0.3333,0.5833,0.6667
0.5,7,0.3333,0.5833,0.6667
0.5,10,0.3333,0.5833,0.6667
0.7,1,0.3333,0.5833,0.6667
0.7,2,0.3333,0.5833,0.6667
0.7,3,0.3333,0.5833,0.6667
0.7,5,0.3333,0.5833,0.6667
0.7,7,0.3333,0.5833,0.6667
0.7,10,0.3333,0.5833,0.6667
0.9,1,0.3333,0.5833,0.6667
0.9,2,0.3333,0.5833,0.6667
0.9,3,0.3333,0.5833,0.6667
0.9,5,0.3333,0.5833,0.6667
0.9,7,0.3333,0.5833,0.6667
0.9,10,0.3333,0.5833,0.6667
1,1,0.3333,0.5833,0.6667
1,2,0.3333,0.5833,0.6667
1,3,0.3333,0.5833,0.6667
1,5,0.3333,0.5833,0.6667
1,7,0.3333,0.5833,0.6667
1,10,0.3333,0.5833,0.6667
