passes,window,idf,gatto_micio,gatto_felino,cane_cucciolo,mamma_papa
1,2,N,0.0438,0.0056,-0.0377,0.0071
1,2,Y,0.0436,0.0055,-0.0371,0.0072
2,2,N,0.0303,0.0823,-0.0136,0.3176
2,2,Y,0.0091,0.0863,-0.0139,0.2959
3,2,N,0.1969,0.1588,0.0882,0.5909
3,2,Y,0.1314,0.1375,0.0406,0.5675
5,2,N,0.6883,0.2747,0.4681,0.8490
5,2,Y,0.5808,0.2018,0.3171,0.8449
8,2,N,0.8795,0.3596,0.7260,0.9463
8,2,Y,0.7832,0.2729,0.5618,0.9563
1,3,N,0.0435,0.0055,-0.0377,0.0068
1,3,Y,0.0433,0.0053,-0.0372,0.0068
2,3,N,0.0378,0.0916,-0.0203,0.2347
2,3,Y,0.0201,0.0938,-0.0208,0.2427
3,3,N,0.1647,0.1362,0.0728,0.4629
3,3,Y,0.1057,0.1189,0.0391,0.4939
5,3,N,0.5186,0.2086,0.4197,0.6702
5,3,Y,0.4222,0.1423,0.2847,0.7489
