generation,fitness
0,0.005859
1,0.005859
2,0.005859
3,0.005859
4,0.005859
5,0.005859
6,0.005859
7,0.005859
8,0.005859
9,0.005859
10,0.005859
11,0.005859
12,0.005859
13,0.005859
14,0.005859
15,0.005859
16,0.005859
17,0.005859
18,0.005859
19,0.005859
20,0.005859
21,0.005859
22,0.005859
23,0.005859
24,0.005859
25,0.005859
26,0.005859
27,0.005859
28,0.005859
29,0.005859
30,0.005859
31,0.005859
32,0.005859
33,0.005859
34,0.005859
35,0.005859
36,0.005859
37,0.005859
38,0.005859
39,0.005859
40,0.005859
41,0.005859
42,0.005859
43,0.005859
44,0.005859
45,0.005859
46,0.005859
47,0.005859
48,0.005859
49,0.005859
50,0.005859
51,0.005859
52,0.005859
53,0.005859
54,0.005859
55,0.005859
56,0.005859
57,0.005859
58,0.005859
59,0.005859
60,0.005859
