gamma,step,phase,input,sim_field_goal,coherence_score,field_resistance,goal_status
0.00,0,aligned,aligned_0,1.0000,1.0000,0.0000,Achieved
0.00,1,aligned,aligned_1,1.0000,1.0000,0.0000,Achieved
0.00,2,aligned,aligned_2,1.0000,1.0000,0.0000,Achieved
0.00,3,aligned,aligned_3,1.0000,1.0000,0.0000,Achieved
0.00,4,aligned,aligned_4,1.0000,1.0000,0.0000,Achieved
0.00,5,aligned,aligned_5,1.0000,1.0000,0.0000,Achieved
0.00,6,aligned,aligned_6,1.0000,1.0000,0.0000,Achieved
0.00,7,aligned,aligned_7,1.0000,1.0000,0.0000,Achieved
0.00,8,aligned,aligned_8,1.0000,1.0000,0.0000,Achieved
0.00,9,aligned,aligned_9,1.0000,1.0000,0.0000,Achieved
0.00,10,attractor,attractor_0,0.1241,0.9677,0.9365,Achieved
0.00,11,attractor,attractor_1,-0.0837,0.9634,0.9634,Achieved
0.00,12,attractor,attractor_2,0.0681,0.9659,0.8897,Achieved
0.00,13,attractor,attractor_3,-0.0073,0.9647,0.9647,Achieved
0.00,14,attractor,attractor_4,0.0149,0.9642,0.9486,Achieved
0.00,15,attractor,attractor_5,-0.0278,0.9633,0.9633,Achieved
0.00,16,attractor,attractor_6,0.0439,0.9641,0.9172,Achieved
0.00,17,attractor,attractor_7,-0.0966,0.9624,0.9624,Achieved
0.00,18,attractor,attractor_8,-0.0361,0.9629,0.9629,Achieved
0.00,19,attractor,attractor_9,-0.0209,0.9624,0.9624,Achieved
0.20,0,aligned,aligned_0,1.0000,1.0000,0.0000,Achieved
0.20,1,aligned,aligned_1,1.0000,1.0000,0.0000,Achieved
0.20,2,aligned,aligned_2,1.0000,1.0000,0.0000,Achieved
0.20,3,aligned,aligned_3,1.0000,1.0000,0.0000,Achieved
0.20,4,aligned,aligned_4,1.0000,1.0000,0.0000,Achieved
0.20,5,aligned,aligned_5,1.0000,1.0000,0.0000,Achieved
0.20,6,aligned,aligned_6,1.0000,1.0000,0.0000,Achieved
0.20,7,aligned,aligned_7,1.0000,1.0000,0.0000,Achieved
0.20,8,aligned,aligned_8,1.0000,1.0000,0.0000,Achieved
0.20,9,aligned,aligned_9,1.0000,1.0000,0.0000,Achieved
0.20,10,attractor,attractor_0,0.9593,0.9974,0.9661,Achieved
0.20,11,attractor,attractor_1,0.9179,0.9947,0.9947,Achieved
0.20,12,attractor,attractor_2,0.8967,0.9931,0.9169,Achieved
0.20,13,attractor,attractor_3,0.8775,0.9917,0.9917,Achieved
0.20,14,attractor,attractor_4,0.8562,0.9901,0.9745,Achieved
0.20,15,attractor,attractor_5,0.8337,0.9885,0.9885,Achieved
0.20,16,attractor,attractor_6,0.8204,0.9873,0.9404,Achieved
0.20,17,attractor,attractor_7,0.7982,0.9858,0.9858,Achieved
0.20,18,attractor,attractor_8,0.7866,0.9849,0.9849,Achieved
0.20,19,attractor,attractor_9,0.7742,0.9838,0.9838,Achieved
0.40,0,aligned,aligned_0,1.0000,1.0000,0.0000,Achieved
0.40,1,aligned,aligned_1,1.0000,1.0000,0.0000,Achieved
0.40,2,aligned,aligned_2,1.0000,1.0000,0.0000,Achieved
0.40,3,aligned,aligned_3,1.0000,1.0000,0.0000,Achieved
0.40,4,aligned,aligned_4,1.0000,1.0000,0.0000,Achieved
0.40,5,aligned,aligned_5,1.0000,1.0000,0.0000,Achieved
0.40,6,aligned,aligned_6,1.0000,1.0000,0.0000,Achieved
0.40,7,aligned,aligned_7,1.0000,1.0000,0.0000,Achieved
0.40,8,aligned,aligned_8,1.0000,1.0000,0.0000,Achieved
0.40,9,aligned,aligned_9,1.0000,1.0000,0.0000,Achieved
0.40,10,attractor,attractor_0,0.9747,0.9983,0.9671,Achieved
0.40,11,attractor,attractor_1,0.9517,0.9967,0.9967,Achieved
0.40,12,attractor,attractor_2,0.9434,0.9960,0.9198,Achieved
0.40,13,attractor,attractor_3,0.9371,0.9954,0.9954,Achieved
0.40,14,attractor,attractor_4,0.9294,0.9947,0.9791,Achieved
0.40,15,attractor,attractor_5,0.9216,0.9940,0.9940,Achieved
0.40,16,attractor,attractor_6,0.9183,0.9935,0.9467,Achieved
0.40,17,attractor,attractor_7,0.9112,0.9930,0.9930,Achieved
0.40,18,attractor,attractor_8,0.9095,0.9927,0.9927,Achieved
0.40,19,attractor,attractor_9,0.9072,0.9923,0.9923,Achieved
0.60,0,aligned,aligned_0,1.0000,1.0000,0.0000,Achieved
0.60,1,aligned,aligned_1,1.0000,1.0000,0.0000,Achieved
0.60,2,aligned,aligned_2,1.0000,1.0000,0.0000,Achieved
0.60,3,aligned,aligned_3,1.0000,1.0000,0.0000,Achieved
0.60,4,aligned,aligned_4,1.0000,1.0000,0.0000,Achieved
0.60,5,aligned,aligned_5,1.0000,1.0000,0.0000,Achieved
0.60,6,aligned,aligned_6,1.0000,1.0000,0.0000,Achieved
0.60,7,aligned,aligned_7,1.0000,1.0000,0.0000,Achieved
0.60,8,aligned,aligned_8,1.0000,1.0000,0.0000,Achieved
0.60,9,aligned,aligned_9,1.0000,1.0000,0.0000,Achieved
0.60,10,attractor,attractor_0,0.9900,0.9993,0.9681,Achieved
0.60,11,attractor,attractor_1,0.9823,0.9987,0.9987,Achieved
0.60,12,attractor,attractor_2,0.9800,0.9985,0.9223,Achieved
0.60,13,attractor,attractor_3,0.9787,0.9983,0.9983,Achieved
0.60,14,attractor,attractor_4,0.9766,0.9981,0.9825,Achieved
0.60,15,attractor,attractor_5,0.9748,0.9979,0.9979,Achieved
0.60,16,attractor,attractor_6,0.9740,0.9978,0.9509,Achieved
0.60,17,attractor,attractor_7,0.9726,0.9976,0.9976,Achieved
0.60,18,attractor,attractor_8,0.9725,0.9976,0.9976,Achieved
0.60,19,attractor,attractor_9,0.9721,0.9975,0.9975,Achieved
0.80,0,aligned,aligned_0,1.0000,1.0000,0.0000,Achieved
0.80,1,aligned,aligned_1,1.0000,1.0000,0.0000,Achieved
0.80,2,aligned,aligned_2,1.0000,1.0000,0.0000,Achieved
0.80,3,aligned,aligned_3,1.0000,1.0000,0.0000,Achieved
0.80,4,aligned,aligned_4,1.0000,1.0000,0.0000,Achieved
0.80,5,aligned,aligned_5,1.0000,1.0000,0.0000,Achieved
0.80,6,aligned,aligned_6,1.0000,1.0000,0.0000,Achieved
0.80,7,aligned,aligned_7,1.0000,1.0000,0.0000,Achieved
0.80,8,aligned,aligned_8,1.0000,1.0000,0.0000,Achieved
0.80,9,aligned,aligned_9,1.0000,1.0000,0.0000,Achieved
0.80,10,attractor,attractor_0,0.9982,0.9999,0.9686,Achieved
0.80,11,attractor,attractor_1,0.9970,0.9998,0.9998,Achieved
0.80,12,attractor,attractor_2,0.9965,0.9997,0.9236,Achieved
0.80,13,attractor,attractor_3,0.9964,0.9997,0.9997,Achieved
